region,west,east,south,north,count,avg
1075,-74.0222464,-74.0111348,40.6974368,40.705825,49699.0,66.7997311827957
1076,-74.0222464,-74.0111348,40.705825,40.7142132,102870.0,138.26612903225808
1077,-74.0222464,-74.0111348,40.7142132,40.722601399999995,64581.0,86.8024193548387
1125,-74.0111348,-74.0000232,40.6974368,40.705825,49135.0,66.04166666666667
1126,-74.0111348,-74.0000232,40.705825,40.7142132,135328.0,181.89247311827958
1127,-74.0111348,-74.0000232,40.7142132,40.722601399999995,198724.0,267.10215053763443
1128,-74.0111348,-74.0000232,40.722601399999995,40.7309896,219755.0,295.369623655914
1129,-74.0111348,-74.0000232,40.7309896,40.7393778,252281.0,339.0873655913978
1130,-74.0111348,-74.0000232,40.7393778,40.747766,312948.0,420.6290322580645
1131,-74.0111348,-74.0000232,40.747766,40.756154200000005,107352.0,144.29032258064515
1132,-74.0111348,-74.0000232,40.756154200000005,40.7645424,33144.0,44.54838709677419
1172,-74.0000232,-73.9889116,40.6722722,40.6806604,4914.0,6.604838709677419
1173,-74.0000232,-73.9889116,40.6806604,40.68904860000001,16625.0,22.34543010752688
1174,-74.0000232,-73.9889116,40.68904860000001,40.6974368,19069.0,25.63037634408602
1175,-74.0000232,-73.9889116,40.6974368,40.705825,8320.0,11.182795698924732
1176,-74.0000232,-73.9889116,40.705825,40.7142132,15011.0,20.176075268817204
1177,-74.0000232,-73.9889116,40.7142132,40.722601399999995,200241.0,269.14112903225805
1178,-74.0000232,-73.9889116,40.722601399999995,40.7309896,310552.0,417.40860215053766
1179,-74.0000232,-73.9889116,40.7309896,40.7393778,350575.0,471.2029569892473
1180,-74.0000232,-73.9889116,40.7393778,40.747766,400463.0,538.2567204301075
1181,-74.0000232,-73.9889116,40.747766,40.756154200000005,519623.0,698.4180107526881
1182,-74.0000232,-73.9889116,40.756154200000005,40.7645424,301847.0,405.7083333333333
1183,-74.0000232,-73.9889116,40.7645424,40.7729306,75859.0,101.96102150537635
1184,-74.0000232,-73.9889116,40.7729306,40.781318799999994,14292.0,19.20967741935484
1221,-73.9889116,-73.9778,40.663884,40.6722722,3752.0,5.043010752688172
1222,-73.9889116,-73.9778,40.6722722,40.6806604,7436.0,9.994623655913978
1223,-73.9889116,-73.9778,40.6806604,40.68904860000001,12319.0,16.557795698924732
1224,-73.9889116,-73.9778,40.68904860000001,40.6974368,18975.0,25.504032258064516
1225,-73.9889116,-73.9778,40.6974368,40.705825,3991.0,5.364247311827957
1227,-73.9889116,-73.9778,40.7142132,40.722601399999995,120597.0,162.09274193548387
1228,-73.9889116,-73.9778,40.722601399999995,40.7309896,236281.0,317.5819892473118
1229,-73.9889116,-73.9778,40.7309896,40.7393778,312521.0,420.0551075268817
1230,-73.9889116,-73.9778,40.7393778,40.747766,476106.0,639.9274193548387
1231,-73.9889116,-73.9778,40.747766,40.756154200000005,489489.0,657.9153225806451
1232,-73.9889116,-73.9778,40.756154200000005,40.7645424,552503.0,742.611559139785
1233,-73.9889116,-73.9778,40.7645424,40.7729306,394985.0,530.8938172043011
1234,-73.9889116,-73.9778,40.7729306,40.781318799999994,265118.0,356.34139784946234
1235,-73.9889116,-73.9778,40.781318799999994,40.789707,114977.0,154.53897849462365
1272,-73.9778,-73.96668840000001,40.6722722,40.6806604,6106.0,8.206989247311828
1273,-73.9778,-73.96668840000001,40.6806604,40.68904860000001,8689.0,11.678763440860216
1274,-73.9778,-73.96668840000001,40.68904860000001,40.6974368,5322.0,7.153225806451613
1278,-73.9778,-73.96668840000001,40.722601399999995,40.7309896,10210.0,13.723118279569892
1279,-73.9778,-73.96668840000001,40.7309896,40.7393778,22324.0,30.00537634408602
1280,-73.9778,-73.96668840000001,40.7393778,40.747766,131484.0,176.7258064516129
1281,-73.9778,-73.96668840000001,40.747766,40.756154200000005,466663.0,627.2352150537635
1282,-73.9778,-73.96668840000001,40.756154200000005,40.7645424,638799.0,858.6008064516129
1283,-73.9778,-73.96668840000001,40.7645424,40.7729306,169744.0,228.1505376344086
1284,-73.9778,-73.96668840000001,40.7729306,40.781318799999994,65332.0,87.81182795698925
1285,-73.9778,-73.96668840000001,40.781318799999994,40.789707,190596.0,256.1774193548387
1286,-73.9778,-73.96668840000001,40.789707,40.798095200000006,162011.0,217.75672043010752
1287,-73.9778,-73.96668840000001,40.798095200000006,40.8064834,53158.0,71.4489247311828
1326,-73.96668840000001,-73.95557679999999,40.705825,40.7142132,16914.0,22.733870967741936
1327,-73.96668840000001,-73.95557679999999,40.7142132,40.722601399999995,16751.0,22.51478494623656
1331,-73.96668840000001,-73.95557679999999,40.747766,40.756154200000005,33997.0,45.69489247311828
1332,-73.96668840000001,-73.95557679999999,40.756154200000005,40.7645424,254092.0,341.52150537634407
1333,-73.96668840000001,-73.95557679999999,40.7645424,40.7729306,367654.0,494.15860215053766
1334,-73.96668840000001,-73.95557679999999,40.7729306,40.781318799999994,338480.0,454.9462365591398
1335,-73.96668840000001,-73.95557679999999,40.781318799999994,40.789707,76827.0,103.26209677419355
1336,-73.96668840000001,-73.95557679999999,40.789707,40.798095200000006,48784.0,65.56989247311827
1337,-73.96668840000001,-73.95557679999999,40.798095200000006,40.8064834,57491.0,77.27284946236558
1338,-73.96668840000001,-73.95557679999999,40.8064834,40.814871600000004,32403.0,43.55241935483871
1339,-73.96668840000001,-73.95557679999999,40.814871600000004,40.8232598,7975.0,10.719086021505376
1376,-73.95557679999999,-73.9444652,40.705825,40.7142132,9210.0,12.379032258064516
1377,-73.95557679999999,-73.9444652,40.7142132,40.722601399999995,6160.0,8.279569892473118
1378,-73.95557679999999,-73.9444652,40.722601399999995,40.7309896,5244.0,7.048387096774194
1380,-73.95557679999999,-73.9444652,40.7393778,40.747766,5480.0,7.365591397849462
1382,-73.95557679999999,-73.9444652,40.756154200000005,40.7645424,17336.0,23.301075268817204
1383,-73.95557679999999,-73.9444652,40.7645424,40.7729306,178406.0,239.79301075268816
1384,-73.95557679999999,-73.9444652,40.7729306,40.781318799999994,310246.0,416.997311827957
1385,-73.95557679999999,-73.9444652,40.781318799999994,40.789707,172113.0,231.33467741935485
1386,-73.95557679999999,-73.9444652,40.789707,40.798095200000006,28383.0,38.149193548387096
1387,-73.95557679999999,-73.9444652,40.798095200000006,40.8064834,21538.0,28.948924731182796
1388,-73.95557679999999,-73.9444652,40.8064834,40.814871600000004,15764.0,21.188172043010752
1389,-73.95557679999999,-73.9444652,40.814871600000004,40.8232598,10388.0,13.96236559139785
1390,-73.95557679999999,-73.9444652,40.8232598,40.831648,11146.0,14.981182795698924
1426,-73.9444652,-73.93335359999999,40.705825,40.7142132,4091.0,5.498655913978495
1431,-73.9444652,-73.93335359999999,40.747766,40.756154200000005,13155.0,17.681451612903224
1434,-73.9444652,-73.93335359999999,40.7729306,40.781318799999994,7113.0,9.560483870967742
1435,-73.9444652,-73.93335359999999,40.781318799999994,40.789707,6380.0,8.575268817204302
1436,-73.9444652,-73.93335359999999,40.789707,40.798095200000006,22784.0,30.623655913978496
1437,-73.9444652,-73.93335359999999,40.798095200000006,40.8064834,22342.0,30.02956989247312
1438,-73.9444652,-73.93335359999999,40.8064834,40.814871600000004,8170.0,10.981182795698924
1439,-73.9444652,-73.93335359999999,40.814871600000004,40.8232598,5368.0,7.21505376344086
1441,-73.9444652,-73.93335359999999,40.831648,40.8400362,3781.0,5.081989247311828
1442,-73.9444652,-73.93335359999999,40.8400362,40.8484244,5252.0,7.059139784946237
1480,-73.93335359999999,-73.922242,40.7393778,40.747766,7762.0,10.432795698924732
1482,-73.93335359999999,-73.922242,40.756154200000005,40.7645424,8229.0,11.060483870967742
1483,-73.93335359999999,-73.922242,40.7645424,40.7729306,8118.0,10.911290322580646
1530,-73.922242,-73.9111304,40.7393778,40.747766,9032.0,12.13978494623656
1532,-73.922242,-73.9111304,40.756154200000005,40.7645424,5298.0,7.120967741935484
1533,-73.922242,-73.9111304,40.7645424,40.7729306,7358.0,9.88978494623656
1580,-73.9111304,-73.9000188,40.7393778,40.747766,4063.0,5.461021505376344
1630,-73.9000188,-73.8889072,40.7393778,40.747766,3839.0,5.15994623655914
1684,-73.8889072,-73.87779559999998,40.7729306,40.781318799999994,9459.0,12.713709677419354
1733,-73.87779559999998,-73.86668399999999,40.7645424,40.7729306,4033.0,5.420698924731183
1734,-73.87779559999998,-73.86668399999999,40.7729306,40.781318799999994,159842.0,214.84139784946237
1783,-73.86668399999999,-73.8555724,40.7645424,40.7729306,138681.0,186.3991935483871
2068,-73.80001440000001,-73.78890279999999,40.6387194,40.6471076,70722.0,95.05645161290323
2069,-73.80001440000001,-73.78890279999999,40.6471076,40.6554958,7846.0,10.545698924731182
2118,-73.78890279999999,-73.7777912,40.6387194,40.6471076,108989.0,146.49059139784947
2119,-73.78890279999999,-73.7777912,40.6471076,40.6554958,25811.0,34.69220430107527
2168,-73.7777912,-73.7666796,40.6387194,40.6471076,50988.0,68.53225806451613
